# ThAr line list for LR; ACS Jun 2016
# lambda line
7045.7970 ThII
7053.6196 ThII
7058.4895 ThI
7060.0417 ThI
7060.6538 ThI
7067.2181 ArI
7068.7358 ArI
7072.3939 ThI
7075.3336 ThII
7084.1690 ThI
7086.7044 ArI
7089.3395 ThII
7107.4778 ArI
7109.8602 ThI
7114.3984 ThI
7124.5607 ThI
7125.8200 ArI
7132.6100 ThI
7142.3310 ThI
7147.0416 ArI
7148.5589 ThI
7150.2844 ThI
7153.5877 ThI
7156.9416 ThI
7158.8387 ArI
7159.9470 ThI
7162.5569 ArI
7167.2028 ThI
7168.8952 ThI
7173.3725 ThI
7191.1328 ThII
7200.0454 ThI
7202.5166 ArI
7206.9804 ArI
7208.0063 ThI
7212.6896 ThI
7218.0542 ThI
7219.1515 ThI
7229.9386 ArI
7230.8623 ThI
7233.5365 ArII
7242.0919 ThI
7244.6965 ThI
7246.1277 Th
7248.9668 ThI
7255.3541 ThI
7256.9860 ThI
7258.1770 ThI
7265.1724 ArI
7270.6636 ArI
7272.9359 ArI
7284.9033 ThI
7285.4437 ArI
7296.2659 ThI
7298.1434 ThI
7305.4043 ThII
7311.7159 ArI
7315.0661 ThI
7316.0050 ArI
7324.8073 ThI
7328.2850 ThI
7329.4916 ThI
7341.1515 ThI
7342.5769 ThI
7345.3996 ArI
7348.0530 ArII
7350.8140 ArI
7353.2930 ArI
7358.3449 ThII
7372.1184 ArI
7376.8772 ThI
7380.4263 ArII
7383.9805 ArI
7385.5006 ThI
7392.9801 ArI
7393.4377 ThII
7402.2521 ThI
7412.3368 ArI
7417.7908 ThI
7418.5499 ThI
7422.3118 ArI
7425.2942 ArI
7428.9405 ThI
7430.2533 ThI
7435.3683 ArI
7436.2970 ArI
7440.4933 ArII
7444.7489 ThI
7447.8488 ThI
7449.6049 ThI
7455.2080 ThI
7471.1641 ArI
7481.3545 ThI
7483.6256 ThI
7484.3267 ArI
7487.9738 ThI
7493.4276 ThI
7499.0024 ThI
7500.6556 ArI
7503.8691 ArI
7510.4082 ArI
7511.7902 ThI
7514.6518 ArI
7523.1347 ThI
7525.5079 ThII
7531.1437 ThI
7536.4365 ThII
7537.4287 ThI
7549.3138 ThI
7565.8515 ThI
7566.5296 ThI
7567.7417 ThI
7569.5115 ThI
7585.7922 ThI
7589.3151 ArI
7598.2054 ThI
7607.8230 ThI
7618.3443 ArI
7620.0773 ThI
7625.7053 ThI
7627.1749 ThI
7628.8818 ArI
7630.3106 ThI
7635.1060 ArI
7647.3794 ThI
7652.3202 ThI
7653.8284 ThI
7654.6998 ThI
7658.3246 ThI
7660.0234 ThI
7660.8903 ThI
7670.0575 ArI
7676.2195 ThII
7678.1267 ThI
7685.3075 ThII
7697.9239 ThI
7704.8169 ArI
7710.2692 ThI
7713.9378 ThI
7721.2023 ThI
7723.7611 ArI
7724.2072 ArI
7728.9510 ThI
7731.7385 ThII
7742.5628 ThI
7771.9468 ThI
7782.3165 Th
7787.8002 ThII
7788.9342 ThI
7798.3579 ThI
7813.9729 Th
7814.3230 ArI
7817.7669 ThI
7840.2981 ThI
7841.7911 ThI
7842.2656 ThI
7847.5394 ThI
7848.4547 ThI
7861.9100 ArI
7864.0218 ThI
7865.9698 ThI
7868.1946 ArI
7886.2830 ThI
7891.0750 ArI
7899.6229 Th
7900.3200 ThI
7916.4420 ArI
7937.7335 ThI
7941.7259 ThI
7948.1764 ArI
7954.5923 ThI
7956.9740 ArI
