#INFO	-ref=VIZ5b6c970a1bd80	
#Name: J/A+A/468/1115/table1
#Title: Thorium and argon line list
#Column	Lambda	(F11.6)	Vacuum wavelength	[ucd=em.wl]
#Column	e_Lambda	(F9.6)	Uncertainty on wavelength	[ucd=stat.error]
#Column	Intensity	(I7)	Line peak intensity (in e^-^)	[ucd=phot.flux.density]
#Column	preLambda	(F11.6)	Unkwn Previously-known wavelength	[ucd=em.wl]
#Column	ID	(a6)	Line identification (1)	[ucd=phys.atmol.ionStage]
Name,Obs_Wave,Obs_Unc,Rel_Intensity,Matched_Wave
Unkwn,3967.455980,0.000142,1981,
NoID,3968.086570,0.000136,4906,3968.087057
ThI,3968.514563,0.000124,353187,3968.514615
Unkwn,3968.847976,0.000146,1007,
NoID,3968.917473,0.000124,2029,3968.918715
ArII,3969.482162,0.000138,64744,3969.481593
ThII,3970.125193,0.000139,19865,3970.125552
ThI,3970.788258,0.000143,10606,3970.787157
Unkwn,3971.353908,0.000147,671,
Unkwn,3971.814668,0.000124,1698,
Unkwn,3972.260132,0.000135,2088,
Unkwn,3972.310777,0.001510,378,
Unkwn,3973.048580,0.000126,1101,
NoID,3973.278032,0.000111,154752,3973.278257
ThI,3973.763121,0.000111,35548,3973.763386
Unkwn,3974.066405,0.000126,1052,
ThI,3974.320835,0.000110,79929,3974.320074
ThI,3974.456634,0.000110,16539,3974.456597
Unkwn,3974.636200,0.000129,881,
Unkwn,3974.815526,0.000115,2945,
ThII,3975.348991,0.000120,1240,3975.349020
ArII,3975.600867,0.000109,87505,3975.600626
ArII,3975.882876,0.000109,19401,3975.882946
NoID,3975.953125,0.000132,1495,3975.951347
Unkwn,3976.210042,0.000193,270,
ThII,3976.344763,0.000114,1961,3976.346370
ThI,3976.959361,0.000111,3515,3976.955784
NoID,3977.046212,0.000121,1627,3977.047362
Unkwn,3977.278947,0.000156,489,
ThII,3977.539585,0.000109,7189,3977.539693
Unkwn,3977.598142,0.000322,298,
Unkwn,3977.649748,0.000135,956,
Unkwn,3978.867027,0.000119,1227,
ThII,3980.166308,0.000111,2589,3980.168825
ArII,3980.481353,0.000143,102970,3980.480995
Unkwn,3980.734703,0.000137,689,
ArI,3980.841667,0.000145,5831,3980.840897
ThI,3981.082152,0.000142,6946,3981.082105
NoID,3981.215112,0.000138,44537,3981.215400
ThII,3981.880456,0.000142,5903,3981.880976
ThII,3982.232469,0.000141,8672,3982.232521
ThI,3982.954417,0.000140,10554,3982.954373
ThII,3983.228953,0.000140,8083,3983.228330
Unkwn,3983.354850,0.000121,1089,
NoID,3983.606667,0.000146,2198,3983.607487
ThI,3983.732871,0.000111,1887,3983.733571
ThI,3984.021561,0.000141,5725,3984.022095
NoID,3984.137241,0.000113,1734,3984.136761
Unkwn,3984.300696,0.000114,1366,
ThI,3985.221639,0.000142,4880,3985.222349
ThII,3985.501185,0.000124,959,3985.502623
