Wavelength,flag,Linetype
7435.3683,a,ArI
7436.2970,a,ArI
7440.4933,m,ArII
7444.7489,a,ThI
7447.8488,a,ThI
7449.6049,m,ThI
7455.2080,m,ThI
7471.1641,a,ArI
7481.3545,a,ThI
7483.6256,a,ThI
7484.3267,a,ArI
7487.9738,a,ThI
7493.4276,m,ThI
7499.0024,m,ThI
7500.6556,a,ArI
7503.8691,a,ArI
7510.4082,a,ArI
7511.7902,m,ThI
7514.6518,a,ArI
7523.1347,m,ThI
7525.5079,a,ThII
7531.1437,m,ThI
7536.4365,m,ThII
7537.4287,m,ThI
7549.3138,a,ThI
7565.8515,m,ThI
7566.5296,m,ThI
7567.7417,a,ThI
7569.5115,a,ThI
7585.7922,a,ThI
7589.3151,a,ArI
7598.2054,a,ThI
7607.8230,a,ThI
7618.3443,a,ArI
7620.0773,m,ThI
7625.7053,a,ThI
7627.1749,a,ThI
7628.8818,a,ArI
7630.3106,a,ThI
7635.1060,a,ArI
7647.3794,a,ThI
7652.3202,a,ThI
7653.8284,a,ThI
7654.6998,m,ThI
7658.3246,a,ThI
7660.0234,m,ThI
7660.8903,a,ThI
7670.0575,a,ArI
7676.2195,m,ThII
7678.1267,a,ThI
7685.3075,a,ThII
7697.9239,m,ThI
7704.8169,a,ArI
7710.2692,a,ThI
7713.9378,m,ThI
7721.2023,m,ThI
7723.7611,a,ArI
7724.2072,a,ArI
7728.9510,a,ThI
7731.7385,m,ThII
7742.5628,a,ThI
7771.9468,a,ThI
7782.3165,m,Th
7787.8002,m,ThII
7788.9342,a,ThI
7798.3579,a,ThI
7813.9729,m,Th
7814.3230,a,ArI
7817.7669,a,ThI
7840.2981,a,ThI
7841.7911,a,ThI
7842.2656,m,ThI
7847.5394,a,ThI
7848.4547,m,ThI
7861.9100,a,ArI
7864.0218,m,ThI
7865.9698,a,ThI
7868.1946,a,ArI
7886.2830,a,ThI
7891.0750,a,ArI
7899.6229,m,Th
7900.3200,a,ThI
7916.4420,a,ArI
7937.7335,a,ThI
7941.7259,a,ThI
7948.1764,a,ArI
7954.5923,m,ThI
7956.9740,a,ArI
7972.5960,a,ThI
7974.1592,m,ThI
7978.9731,a,ThI
7987.9731,a,ThI
7993.6808,a,ThI
8000.0449,m,ThI
8006.1567,a,ArI
8014.7857,a,ArI
8017.5275,m,ArII
8022.2014,m,ThI
8024.2530,m,ThI
8025.7271,m,ThI
8030.2004,a,ThI
8032.4313,a,ThI
8032.9061,m,ThI
8037.2183,a,ArI
8046.1169,a,ArI
8053.3085,a,ArI
8062.6304,a,ThI
8066.604,a,ArI
8075.6518,m,ThI
8085.2190,a,ThI
8093.6238,a,ThI
8094.0559,m,ArI
8103.6931,a,ArI
8115.3110,a,ArI
8119.1811,m,ArI
8129.4051,a,ThI
8138.4753,a,ThI
8143.1380,a,ThI
8159.7277,a,ThI
8163.1210,m,ThII
8166.4477,m,ThII
8169.7865,a,ThI
8186.9113,a,ThI
8202.1469,m,ThI
8203.435,a,ArI
8207.4785,m,ThI
8214.1472,m,ThI
8231.4069,m,ThI
8252.3936,a,ThI
8253.6156,m,ThI
8259.5110,m,ThI
8264.5225,a,ArI
8275.6266,a,ThI
8295.5497,m,ThI
8297.1765,a,ThI
8311.6306,m,Th
8320.8554,a,ThI
8330.4494,a,ThI
8358.7260,a,ThI
8366.0741,m,ThI
8367.3936,m,ThI
8369.3404,a,ThI
8379.2261,m,ThI
8384.7240,a,ArI
8387.1053,m,ThII
8388.5363,m,ThI
8399.2578,a,ThI
8403.7965,m,ThII
8408.2096,a,ArI
8411.9172,m,ThI
8416.7269,a,ThI
8417.9982,a,ThI
8421.2254,a,ThI
8424.6475,a,ArI
8445.4870,a,ThI
8446.5116,a,ThI
8450.6754,m,ThII
8464.2367,a,ThI
8465.6706,m,ThI
8471.8260,a,ThI
8478.3580,a,ThI
8490.3065,a,ArI
8510.6240,a,ThI
8516.5542,a,ThI
8521.4422,a,ArI
8539.7930,a,ThI
8543.7225,m,ThI
8544.5955,m,ThI
8554.9440,a,ThI
8556.3250,m,ThI
8573.1205,a,ThI
8577.2768,a,ThI
8591.8387,m,ThII
8604.0163,m,ArII
8605.7762,a,ArI
8620.4602,a,ArI
8639.4416,a,ThI
8645.3087,m,ThI
8665.4855,a,ThI
8667.9442,a,ArI
8678.4083,a,ArI
8687.8480,m,ThI
