element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Ar,2,5812.7604,0.0013,,,243.0,,N
Ar,2,5813.56,0.02,,,13.5,,N
Ar,2,5816.272,0.008,,,54.0,,N
Ar,2,5822.1291,0.0007,,,135.0,,N
Ar,2,5826.0549,0.0007,,,81.0,,N
Ar,2,5828.059,0.008,,,81.0,,N
Ar,1,5834.263,0.01,C,,135.0,,Y
Ar,2,5835.47,0.02,,,0.0,,N
Ar,2,5838.96,0.02,,,27.0,,N
Ar,2,5840.048,0.008,,,27.0,,N
Ar,2,5843.781,0.008,E,,189.0,,N
Ar,2,5846.11,0.02,,,13.5,p,N
Ar,2,5852.74,0.02,,,0.0,,N
Ar,2,5853.1,0.02,,,54.0,,N
Ar,2,5854.2728,0.0007,,,108.0,,N
Ar,1,5860.31,0.01,C,,270.0,,Y
Ar,2,5866.598,0.008,,,54.0,,N
Ar,2,5870.443,0.008,,,108.0,,N
Ar,1,5882.624,0.01,C,,405.0,,Y
Ar,2,5884.54,0.02,,,13.5,,N
Ar,2,5886.088,0.008,,,81.0,,N
Ar,1,5888.584,0.01,C,,675.0,,Y
Ar,2,5894.16,0.02,,,0.0,h*,N
Ar,2,5894.16,0.02,,,0.0,h*,N
Ar,2,5901.78,0.02,,,0.0,,N
Ar,2,5901.78,0.02,,,0.0,,N
Ar,2,5904.291,0.02,,,54.0,p?,N
Ar,2,5908.674,0.008,,,13.5,,N
Ar,1,5912.085,0.01,C,,1350.0,,N
Ar,2,5915.49,0.02,,,0.0,,N
Ar,2,5923.08,0.02,,,0.0,*,N
Ar,2,5923.08,0.02,,,0.0,*,N
Ar,2,5926.77,0.02,,,13.5,,N
Ar,1,5928.813,0.01,D+,,405.0,,Y
Ar,2,5935.792,0.008,,,54.0,,N
Ar,2,5936.309,0.008,,,27.0,,N
Ar,2,5936.64,0.02,,,27.0,,N
Ar,2,5941.825,0.008,,,108.0,,N
Ar,1,5942.669,0.01,D,,135.0,,Y
Ar,15,5943.879,0.002,,,-2673.0,--,N
Ar,2,5950.905,0.008,E,,162.0,,N
Ar,2,5953.8303,0.0007,,,135.0,,N
Ar,2,5961.37,0.02,,,0.0,,N
Ar,2,5962.744,0.008,,,13.5,,N
Ar,2,5965.031,0.008,,,81.0,,N
Ar,2,5973.314,0.008,,,54.0,,N
Ar,2,5975.9622,0.0007,,,135.0,,N
Ar,2,5977.995,0.008,,,108.0,,N
Ar,2,5984.454,0.008,,,81.0,,N
Ar,2,5985.912,0.014,,,27.0,,N
Ar,1,5987.302,0.01,D,,189.0,,N
Ar,2,5988.288,0.008,,,81.0,p?*,N
Ar,2,5988.288,0.008,,,81.0,p?*,N
Ar,2,5989.339,0.008,,,216.0,,N
Ar,2,5991.46,0.02,,,13.5,,N
Ar,1,5998.999,0.01,D,,135.0,,N
Ar,2,6003.17,0.008,,,27.0,,N
Ar,2,6019.493,0.008,,,108.0,,N
Ar,1,6025.15,0.01,D+,,135.0,,Y
Ar,2,6027.2513,0.0007,,,189.0,,N
Ar,2,6028.22,0.008,,,27.0,,N
Ar,8,6029.8,0.8,,,-2673.0,--,N
Ar,2,6030.844,0.008,,,27.0,l,N
Ar,1,6032.127,0.01,C,,1890.0,,Y
Ar,1,6043.223,0.01,C,,945.0,,N
Ar,2,6044.468,0.008,,,189.0,,N
Ar,2,6046.8977,0.0007,,,270.0,,N
Ar,2,6049.075,0.0007,,,189.0,,N
Ar,2,6050.01,0.02,,,13.5,h?*,N
Ar,2,6050.01,0.02,,,13.5,h*,N
Ar,1,6052.723,0.01,D+,,270.0,,Y
Ar,1,6059.372,0.01,C,,540.0,,Y
Ar,2,6069.96,0.02,,,0.0,,N
Ar,2,6077.431,0.008,C,,162.0,,N
Ar,2,6083.875,0.008,,,54.0,,N
Ar,2,6084.507,0.008,,,54.0,,N
Ar,1,6098.803,0.01,D+,,189.0,,Y
