element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Th,2,2890.1881,0.0012,,,45.0,,Y
Th,2,2890.3161,0.0012,,,9.0,,Y
Th,2,2890.48,0.0012,,,45.0,,Y
Th,2,2890.589,0.0012,,,27.0,,Y
Th,1,2890.746,0.0008,,,62.0,,Y
Th,2,2890.888,0.0003,,,72.0,,Y
Th,2,2891.1286,0.0003,,,79.0,,Y
Th,2,2891.2493,8e-05,,,1000.0,,Y
Th,2,2891.73,0.00012,,,540.0,,Y
Th,2,2891.8164,0.00011,,,610.0,,Y
Th,2,2892.17155,0.00018,,,240.0,,Y
Th,2,2892.8151,0.0012,,,8.0,,Y
Th,2,2893.0696,0.0003,,,140.0,,Y
Th,2,2893.1571,0.0012,,,25.0,,Y
Th,2,2893.7471,0.0012,,,16.0,,Y
Th,2,2894.4445,0.0003,,,88.0,,Y
Th,2,2894.4995,0.0003,,,91.0,,Y
Th,2,2894.98628,0.00018,,,230.0,,Y
Th,2,2895.1352,9e-05,,,820.0,,Y
Th,1,2895.271,0.0003,,,99.0,,Y
Th,2,2895.37,0.0012,,,7.0,,Y
Th,2,2895.7499,0.0003,,,73.0,,Y
Th,2,2895.9131,0.0012,,,15.0,,Y
Th,2,2896.315,0.0012,,,30.0,,Y
Th,3,2896.74601,0.00013,,,480.0,,Y
Th,2,2897.06841,0.0001,,,700.0,,Y
Th,2,2897.1134,0.0003,,,120.0,,Y
Th,2,2897.4931,0.0012,,,22.0,,Y
Th,2,2898.2023,0.0003,,,78.0,,Y
Th,2,2898.2622,0.0003,,,130.0,,Y
Th,1,2898.443,0.0008,,,12.0,,Y
Th,1,2898.5532,0.0003,,,82.0,,Y
Th,2,2898.729,0.0012,,,7.0,,Y
Th,3,2898.93423,5e-05,,,2700.0,,Y
Th,2,2899.36923,0.00013,,,460.0,,Y
Th,2,2899.72044,7e-05,,,1700.0,,Y
Th,2,2900.3671,0.0012,,,37.0,,Y
Th,2,2900.7721,0.0012,,,29.0,,Y
Th,2,2901.3781,0.0012,,,22.0,,Y
Th,2,2902.1441,0.0012,,,15.0,,Y
Th,1,2902.7141,0.0008,,,470.0,,Y
Th,2,2903.0514,0.00013,,,440.0,,Y
Th,2,2903.16646,0.00018,,,230.0,,Y
Th,2,2903.5628,0.0003,,,130.0,,Y
Th,2,2904.2673,0.0003,,,140.0,,Y
Th,2,2904.429,0.0012,,,37.0,,Y
Th,2,2904.7025,0.0003,,,81.0,,Y
Th,2,2904.99975,0.0002,,,190.0,,Y
Th,2,2905.303,0.0012,,,30.0,,Y
Th,2,2905.7443,0.0003,,,110.0,,Y
Th,2,2905.92087,0.00019,,,210.0,,Y
Th,2,2905.9329,0.0003,,,150.0,,Y
Th,2,2906.1222,0.0003,,,120.0,,Y
Th,3,2907.4873,0.0003,,,150.0,,Y
Th,2,2907.7821,0.0003,,,77.0,,Y
Th,2,2908.156,0.0012,,,59.0,,Y
Th,2,2908.31297,0.00019,,,230.0,,Y
Th,2,2908.35869,0.00013,,,460.0,,Y
Th,2,2908.3831,0.0012,,,74.0,,Y
Th,2,2908.436,0.0012,,,14.0,,Y
Th,1,2908.50756,0.00014,,,350.0,,Y
Th,2,2908.6725,0.0003,,,76.0,,Y
Th,2,2908.9818,0.0003,,,92.0,,Y
Th,1,2909.0808,0.0003,,,79.0,,Y
Th,1,2909.1069,0.0003,,,130.0,,Y
Th,2,2909.303,0.0003,,,150.0,,Y
Th,2,2909.3781,0.0012,,,60.0,,Y
Th,2,2909.4545,0.0003,,,110.0,,Y
Th,2,2909.7674,0.0003,,,120.0,,Y
Th,1,2910.3901,0.0008,,,240.0,,Y
Th,2,2910.59388,9e-05,,,950.0,,Y
Th,2,2910.749,0.0003,,,92.0,,Y
Th,2,2911.1372,0.0003,,,130.0,,Y
Th,2,2911.31955,0.00015,,,340.0,,Y
Th,2,2912.00889,0.00014,,,420.0,,Y
Th,2,2912.328,0.0012,,,22.0,,Y
Th,1,2912.553,0.0008,,,160.0,,Y
Th,2,2912.66121,0.00018,,,250.0,,Y
Th,2,2912.7569,0.00015,,,320.0,,Y
Th,2,2913.097,0.0012,,,22.0,,Y
Th,2,2914.34074,0.00012,,,520.0,*,Y
Th,2,2914.583,0.0003,,,92.0,,Y
Th,1,2915.4241,0.0009,,,160.0,,Y
Th,2,2915.5361,0.0012,,,22.0,,Y
Th,2,2915.926,0.0012,,,22.0,,Y
Th,1,2916.105,0.0009,,,160.0,,Y
Th,1,2916.313,0.0009,,,120.0,,Y
Th,1,2916.36983,0.00012,,,580.0,,Y
Th,2,2916.429,0.0012,,,75.0,,Y
Th,2,2916.48465,0.0002,,,190.0,,Y
Th,2,2916.9442,0.0003,,,70.0,,Y
Th,2,2917.03362,0.00018,,,250.0,,Y
Th,2,2917.411,0.0012,,,6100.0,,Y
Th,2,2917.78581,0.00011,,,590.0,,Y
Th,2,2917.89839,0.00015,,,320.0,,Y
Th,1,2918.9215,0.0003,,,70.0,,Y
Th,2,2919.1753,0.0003,,,120.0,,Y
Th,2,2919.439,0.0012,,,110.0,,Y
Th,2,2919.597,0.0012,,,7.0,,Y
Th,2,2919.84075,9e-05,,,990.0,,Y
Th,2,2920.0561,0.0003,,,120.0,,Y
Th,2,2920.2121,0.0012,,,60.0,,Y
Th,2,2920.29,0.0003,,,70.0,,Y
Th,2,2920.36819,0.00019,,,230.0,,Y
Th,2,2920.7171,0.0012,,,58.0,,Y
Th,2,2920.856,0.0012,,,36.0,,Y
Th,2,2920.93191,0.00014,,,440.0,,Y
Th,2,2921.0828,0.0003,,,140.0,,Y
Th,2,2921.36374,0.00018,,,250.0,,Y
Th,2,2921.53405,0.00018,,,240.0,,Y
Th,1,2921.56,0.0009,,,23.0,,Y
Th,2,2921.62072,9e-05,,,1100.0,,Y
Th,2,2921.802,0.0012,,,22.0,,Y
Th,2,2922.094,0.0012,,,74.0,,Y
Th,2,2922.60111,0.00011,,,640.0,*,Y
