Ritz_Wavelength_(A),Ritz_Wavelength_Uncertainty_(A),Measured_Wavelength_(A),Measured_Wavelength_Uncertainty_(A),Relative_Intensity,Species,Lower_State_Energy,Lower_State_J,Upper_State_Energy,Upper_State_J,Source,Use
6674.696817,1.8e-05,6674.69675,5e-05,3000,Th I,2869,3,17847,2_1,RNS13,Y
6683.367093,2.2e-05,6683.36717,0.00013,1300,Th I,8243,2_1,23201,3,RNS13,Y
6697.711945,1.8e-05,6697.71213,0.00018,970,Th I,3687,2,18614,1_1,RNS13,Y
6704.04724,7e-05,6704.051,0.0006,250,Th II,11576,3/2_1,26488,5/2,PE83,Y
6713.969884,1.8e-05,6713.96999,0.0001,1500,Th I,6362,2,21252,2_1,RNS13,Y
6719.19942,3e-05,6719.19943,0.00011,1400,Th I,10526,3_1,25405,4,RNS13,Y
6727.458224,1.4e-05,6727.45817,4e-05,4400,Th I,5563,1,20423,1_1,RNS13,Y
6738.179958,2.3e-05,6738.17991,0.00023,640,Th I,7502,3,22338,3_1,RNS13,Y
6756.452682,1.4e-05,6756.452686,1.8e-05,9700,Th I,2558,0,17354,1_1,RNS13,Y
6770.10694,9e-05,6770.1068,0.0005,370,Th II,8605,5/2,23372,3/2_1,PE83,Y
6780.412985,1.8e-05,6780.41299,4e-05,4300,Th I,8111,4,22855,3_1,RNS13,Y
6788.8402,3e-05,6788.84026,8e-05,1900,Th I,11197,5_1,25923,4,RNS13,Y
6798.48744,4e-05,6798.4868,0.0005,390,Th I,11802,2,26508,3_1,PE83,Y
6809.10056,7e-05,6809.1,0.0004,500,Th I,19039,2_1,33721,2,PE83,Y
6829.035332,1.9e-05,6829.03537,4e-05,4400,Th I,7502,3,22141,3_1,RNS13,Y
6834.924462,1.9e-05,6834.924476,1.9e-05,9800,Th I,4961,4,19588,5_1,RNS13,Y
6854.10887,8e-05,6854.1089,0.00019,870,Th I,13088,3,27674,2_1,RNS13,Y
6862.86871,9e-05,6862.8685,0.0008,150,Th I,19039,2_1,33606,2,PE83,Y
6866.15748,3e-05,6866.1573,0.0005,300,Th I,11802,2,26363,2_1,RNS13,Y
6874.752838,1.4e-05,6874.75282,6e-05,2900,Th I,2869,3,17411,3_1,RNS13,Y
6886.40819,4e-05,6886.40794,0.00011,1400,Th I,3865,1,18382,0_1,RNS13,Y
6892.25091,0.00014,6892.2502,0.0005,410,Th I,17166,5,31671,4_1,PE83,Y
6900.7629,6e-05,6900.7632,0.0006,290,Th I,16783,4_1,31271,5,PE83,Y
6911.226202,1.4e-05,6911.226197,1.4e-05,25000,Th I,0,2,14465,2_1,RNS13,Y
6920.03948,6e-05,6920.0394,0.0006,230,Th I,18011,5_1,32458,4,PE83,Y
6934.22968,5e-05,6934.2294,0.0005,460,Th I,14465,2_1,28882,2,PE83,Y
6942.538,4e-05,6942.53779,0.00024,710,Th I,7502,3,21902,4_1,RNS13,Y
6943.610458,1.9e-05,6943.610467,1.9e-05,14000,Th I,9804,5,24202,4_1,RNS13,Y
6948.2052,4e-05,6948.205,0.0003,600,Th I,15493,4,29881,4_1,RNS13,Y
-1.0,-1.0,6965.4305,0.0003,14791,Ar I,93144,2_1,107496,1,95WHA,Y
6989.655208,1.5e-05,6989.655198,1.5e-05,31000,Th I,7795,4_1,22098,4,RNS13,Y
7000.803615,2.5e-05,7000.803625,2.5e-05,7800,Th I,9804,5,24084,6_1,RNS13,Y
7018.567422,1.5e-05,7018.567422,2.5e-05,9800,Th I,0,2,14243,1_1,RNS13,Y
-1.0,-1.0,7030.2518,0.0003,417,Ar I,105463,3,119683,2_1,95WHA,Y
7045.79713,9e-05,7045.79704,0.0002,1100,Th II,1521,5/2,15710,3/2_1,RNS13,Y
-1.0,-1.0,7067.2179,0.0003,16982,Ar I,93144,2_1,107290,2,95WHA,Y
7084.168958,2e-05,7084.168958,2e-05,12000,Th I,9804,5,23916,4_1,RNS13,Y
7111.0446,0.0002,7111.045,0.005,360,Th I,19532,4,33591,3_1,Z76,Y
7124.560432,1.5e-05,7124.560468,2.5e-05,8300,Th I,0,2,14032,2_1,RNS13,Y
7150.284338,2e-05,7150.28438,5e-05,4100,Th I,3865,1,17847,2_1,RNS13,Y
7168.894959,1.5e-05,7168.894974,1.5e-05,30000,Th I,0,2,13945,3_1,RNS13,Y
7208.006197,2.1e-05,7208.006197,2.1e-05,14000,Th I,8800,4,22669,3_1,RNS13,Y
7218.05413,3e-05,7218.05418,3e-05,6500,Th I,9804,5,23655,4_1,RNS13,Y
-1.0,-1.0,7272.9358,0.0003,6310,Ar I,93751,1_1,107496,1,95WHA,Y
7315.065935,1.6e-05,7315.0666,0.0004,480,Th I,3687,2,17354,1_1,RNS13,Y
7350.45442,0.00016,7350.454,0.005,290,Th I,20566,4_1,34167,3,Z76,Y
7376.87717,4e-05,7376.8771,0.00016,1600,Th I,14481,6_1,28034,5,RNS13,Y
-1.0,-1.0,7383.9803,0.0003,18197,Ar I,93751,1_1,107290,2,95WHA,Y
7439.08597,8e-05,7439.086,0.008,260,Th II,13818,7/2_1,27257,7/2,ZC74,Y
7473.42368,0.00017,7473.44,0.006,130,Th I,21668,1_1,35046,1,Z76,Y
7481.35432,3e-05,7481.35428,5e-05,4600,Th I,8800,4,22163,4_1,RNS13,Y
-1.0,-1.0,7503.8689,0.0003,22387,Ar I,95400,1_1,108723,0,95WHA,Y
-1.0,-1.0,7514.6517,0.0003,16982,Ar I,93751,1_1,107054,0,95WHA,Y
7567.74153,3e-05,7567.74152,3e-05,8700,Th I,9804,5,23015,5_1,RNS13,Y
-1.0,-1.0,7635.1063,0.0003,15488,Ar I,93144,2_1,106238,2,95WHA,Y
-1.0,-1.0,7723.761,0.0003,16218,Ar I,93144,2_1,106087,1,95WHA,Y
7788.934167,2.4e-05,7788.93414,4e-05,7000,Th I,11197,5_1,24032,4,RNS13,Y
7817.769955,2.4e-05,7817.769943,2.4e-05,13000,Th I,10414,4_1,23201,3,RNS13,Y
7847.53938,1.8e-05,7847.539399,1.8e-05,15000,Th I,8800,4,21539,4_1,RNS13,Y
7886.283071,1.9e-05,7886.28307,9e-05,2700,Th I,6362,2,19039,2_1,RNS13,Y
-1.0,-1.0,7948.1763,0.0003,17783,Ar I,94554,0_1,107132,1,95WHA,Y
7978.973154,1.9e-05,7978.97316,1.9e-05,27000,Th I,3687,2,16217,2_1,RNS13,Y
-1.0,-1.0,8006.1565,0.0003,17378,Ar I,93751,1_1,106238,2,95WHA,Y
-1.0,-1.0,8014.7856,0.0003,20893,Ar I,93144,2_1,105617,2,95WHA,Y
8057.97436,0.00019,8057.973,0.006,420,Th I,21594,3,34001,4_1,Z76,Y
-1.0,-1.0,8103.6932,0.0003,16596,Ar I,93751,1_1,106087,1,95WHA,Y
-1.0,-1.0,8115.3117,0.0003,16596,Ar I,93144,2_1,105463,3,95WHA,Y
8143.138212,2e-05,8143.13823,3e-05,12000,Th I,8800,4,21077,5_1,RNS13,Y
