element,sp_num,obs_wl_air(A),unc_obs_wl,intens,Aki(s^-1),Acc,Type,blank
Ne,3,2433.601,0.010,300,1.9e+08,C,,
Ne,2,2434.611,0.020,80bl,,,,
Ne,2,2434.636,0.020,40bl,,,,
Ne,2,2435.646,0.010,120,,,,
Ne,2,2436.472,0.010,22,,,,
Ne,2,2436.769,0.010,12,,,,
Ne,2,2439.119,0.010,100,,,,
Ne,3,2439.294,0.010,240,1.9e+08,C,,
Ne,2,2440.635,0.010,22,,,,
Ne,2,2441.437,0.010,100,,,,
Ne,3,2441.830,0.010,220,7.8e+07,C,,
Ne,2,2442.155,0.010,40,,,,
Ne,2,2444.304,0.010,22,,,,
Ne,2,2445.137,0.010,40,,,,
Ne,3,2454.926,0.010,300,2.0e+08,C,,
Ne,2,2455.149,0.010,40,,,,
Ne,2,2455.796,0.010,12,,,,
Ne,2,2455.987,0.010,40,,,,
Ne,3,2457.519,0.010,240,3.3e+08,C,,
Ne,2,2458.348,0.010,80,,,,
Ne,2,2458.94,0.02,14,,,,
Ne,3,2460.725,0.010,180,4.5e+07,D,,
Ne,2,2461.241,0.010,100,,,,
Ne,3,2462.287,0.010,360,2.4e+08,C,,
Ne,3,2463.315,0.010,220,8.2e+07,C,,
Ne,3,2468.125,0.010,240,8.2e+07,C,,
Ne,2,2469.192,0.010,12,,,,
Ne,2,2470.002,0.010,40,,,,
Ne,3,2471.828,0.010,220,,,,
Ne,3,2473.3862,0.0010,600,2.7e+08,C,,
Ne,2,2477.544,0.010,80,,,,
Ne,2,2478.239,0.010,22,,,,
Ne,2,2478.726,0.010,12,,,,
Ne,7,2485.2,1.0,70,,,,
Ne,4,2485.9,1.5,11i*,,,,
Ne,4,2485.9,1.5,11i*,,,,
Ne,4,2485.9,1.5,11i*,,,,
Ne,4,2485.9,1.5,11i*,,,,
Ne,4,2485.9,1.5,11i*,,,,
Ne,8,2489.2,1.5,25*,9.0e+07,A,,
Ne,8,2489.2,1.5,25*,7.20e+07,A,,
Ne,3,2492.91,0.10,20w,,,,
Ne,3,2494.778,0.010,30,1.2e+06,C,,
Ne,4,2504.9,1.5,9i*,,,,
Ne,4,2504.9,1.5,9i*,,,,
Ne,4,2504.9,1.5,9i*,,,,
Ne,4,2504.9,1.5,9i*,,,,
Ne,4,2504.9,1.5,9i*,,,,
Ne,4,2504.9,1.5,9i*,,,,
Ne,3,2507.037,0.010,360,4.0e+08,C,,
Ne,4,2510.4,1.5,6i*,,,,
