element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Hg,2,2981.513,0.004,,,2000.0,,N
Hg,2,2986.592,0.004,,,640.0,h,N
Hg,2,2994.42,0.004,,,1120.0,,N
Hg,2,2999.553,0.004,,,80.0,,N
Hg,2,3004.385,0.004,,,2400.0,h,N
Hg,2,3004.863,0.004,,,800.0,,N
Hg,2,3006.507,0.004,,,16000.0,,N
Hg,1,3007.14,0.06,,,24.0,,Y
Hg,2,3011.162,0.004,,,2400.0,,N
Hg,1,3011.48,0.06,,,24.0,*,Y
Hg,1,3011.48,0.06,,,24.0,*,Y
Hg,1,3021.504,0.001,B+,,9600.0,,Y
Hg,1,3023.471,0.002,,,2400.0,,Y
Hg,1,3025.606,0.006,,,240.0,,Y
Hg,1,3027.49,0.002,C+,,480.0,,Y
Hg,2,3034.916,0.004,,,16000.0,,N
Hg,1,3038.45,0.06,,,-792.0,--,Y
Hg,2,3044.61,0.004,,,200.0,p,N
Hg,2,3045.161,0.004,,,240.0,w,N
Hg,2,3045.161,0.004,,,240.0,w,N
Hg,2,3048.503,0.004,,,200.0,,N
Hg,1,3049.705,0.009,,,-792.0,--,Y
Hg,2,3055.765,0.004,,,480.0,,N
Hg,2,3064.529,0.004,,,6400.0,,N
Hg,2,3067.684,0.004,,,3840.0,,N
Hg,2,3069.177,0.004,,,320.0,,N
Hg,2,3070.478,0.004,,,280.0,,N
Hg,2,3087.549,0.004,,,8800.0,c,N
Hg,3,3090.05,0.1,,,120.0,,N
Hg,2,3102.668,0.004,,,1200.0,,N
Hg,2,3116.195,0.004,,,120000.0,,N
Hg,1,3125.674,0.001,B+,,32000.0,,Y
Hg,1,3131.555,0.001,,,24000.0,,Y
Hg,1,3131.844,0.001,,,32000.0,,Y
Hg,1,3136.679,0.01,,,-792.0,--,Y
Hg,2,3139.679,0.004,,,240.0,,N
Hg,1,3144.28,0.06,,,-792.0,--,Y
Hg,2,3172.116,0.003,,,320.0,h,N
Hg,2,3187.744,0.004,,,560.0,h,N
Hg,2,3191.019,0.003,,,60000.0,,N
Hg,2,3191.591,0.003,,,280.0,,N
Hg,2,3201.385,0.003,,,20000.0,,N
Hg,2,3207.709,0.003,,,4000.0,,N
Hg,2,3208.169,0.003,,,960000.0,,N
Hg,2,3227.813,0.003,,,1200.0,h,N
Hg,2,3252.076,0.003,,,3600.0,,N
Hg,2,3252.916,0.003,,,800.0,,N
Hg,2,3256.018,0.003,,,640.0,h,N
Hg,2,3257.501,0.004,,,7200.0,h,N
Hg,2,3261.552,0.011,,,24.0,G,N
Hg,2,3264.039,0.004,,,480000.0,,N
Hg,2,3264.552,0.004,,,800.0,l,N
Hg,2,3277.846,0.004,,,80000.0,,N
Hg,2,3278.104,0.004,,,800.0,h,N
Hg,3,3283.02,0.1,,,40.0,,N
Hg,2,3284.712,0.004,,,80.0,,N
Hg,2,3289.366,0.004,,,2400.0,h,N
Hg,1,3304.873,0.011,,,-792.0,--,Y
Hg,3,3312.28,0.1,,,96.0,,N
Hg,2,3317.279,0.004,,,5600.0,,N
Hg,2,3330.001,0.004,,,1200.0,c,N
Hg,2,3335.226,0.004,,,2400.0,,N
Hg,2,3338.424,0.004,,,16000.0,c,N
Hg,2,3338.709,0.004,,,240.0,,N
Hg,2,3338.964,0.004,,,400.0,,N
Hg,1,3341.484,0.001,B+,,5600.0,,Y
Hg,2,3348.487,0.004,,,640.0,,N
Hg,2,3362.671,0.004,,,80.0,,N
Hg,1,3362.71,0.03,,,-792.0,--,Y
Hg,1,3368.15,0.03,,,-792.0,--,Y
Hg,1,3371.73,0.03,,,-792.0,--,Y
