element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Ne,2,2608.035,0.0006,,,120.0,,N
Ne,3,2610.007,0.01,C,,2000.0,,N
Ne,2,2610.31,0.01,,,120.0,,N
Ne,3,2611.409,0.01,C,,800.0,,N
Ne,3,2612.484,0.01,C,,90.0,,N
Ne,3,2613.4161,0.001,C,,2000.0,,N
Ne,1,2613.59,0.02,,,300.0,*,Y
Ne,1,2613.59,0.02,,,300.0,*,Y
Ne,1,2613.925,0.001,,,20.0,,Y
Ne,1,2614.26,0.02,,,50.0,,Y
Ne,3,2614.473,0.01,C,,1000.0,,N
Ne,3,2615.85,0.01,C,,1500.0,,N
Ne,1,2616.62,0.02,,,250.0,,Y
Ne,1,2619.02,0.02,,,50.0,*,Y
Ne,1,2619.02,0.02,,,50.0,*,Y
Ne,1,2619.77,0.02,,,30.0,,Y
Ne,2,2620.537,0.01,,,120.0,,N
Ne,1,2621.1,0.02,,,80.0,,Y
Ne,2,2621.556,0.01,,,100.0,,N
Ne,1,2622.9,0.02,,,150.0,,Y
Ne,2,2623.107,0.003,,,160.0,,N
Ne,2,2623.46,0.01,,,120.0,,N
Ne,2,2625.9839,0.0014,,,120.0,,N
Ne,2,2628.187,0.011,,,120.0,*,N
Ne,2,2628.187,0.011,,,120.0,*,N
Ne,2,2628.327,0.01,,,60.0,,N
Ne,2,2629.7209,0.0006,,,140.0,,N
Ne,2,2629.8857,0.0005,,,160.0,,N
Ne,2,2631.63,0.01,,,40.0,,N
Ne,2,2631.967,0.01,,,120.0,,N
Ne,3,2635.7227,0.001,C,,240.0,,N
Ne,2,2636.069,0.01,,,180.0,w*,N
Ne,2,2636.069,0.01,,,180.0,w*,N
Ne,8,2636.2,1.5,,,200.0,*,N
Ne,8,2636.2,1.5,,,200.0,*,N
Ne,8,2636.2,1.5,,,200.0,*,N
Ne,8,2636.2,1.5,,,200.0,*,N
Ne,8,2636.2,1.5,,,200.0,*,N
Ne,8,2636.2,1.5,,,200.0,*,N
Ne,2,2636.942,0.01,,,120.0,,N
Ne,2,2637.837,0.01,,,40.0,,N
Ne,2,2638.096,0.01,,,140.0,,N
Ne,2,2638.2879,0.0012,,,160.0,,N
Ne,2,2638.5576,0.0009,,,140.0,,N
Ne,3,2638.6422,0.001,C,,600.0,,N
Ne,3,2638.695,0.01,C,,150.0,,N
Ne,3,2638.7112,0.001,C,,1500.0,,N
Ne,3,2639.13,0.1,C,,400.0,,N
Ne,3,2639.1674,0.001,C,,600.0,,N
Ne,1,2639.97,0.02,,,150.0,,Y
Ne,3,2640.559,0.01,C,,1000.0,,N
Ne,2,2640.6654,0.0017,,,120.0,,N
Ne,3,2641.0831,0.001,C,,1500.0,,N
Ne,2,2641.5282,0.0017,,,140.0,,N
Ne,3,2642.219,0.01,C,,200.0,,N
Ne,3,2642.402,0.01,C,,240.0,,N
Ne,1,2642.47,0.02,,,80.0,*,Y
Ne,1,2642.47,0.02,,,80.0,*,Y
Ne,2,2643.627,0.01,,,120.0,,N
Ne,2,2643.684,0.01,,,120.0,,N
Ne,2,2644.097,0.003,,,160.0,,N
Ne,1,2645.51,0.02,,,500.0,,Y
Ne,2,2645.645,0.01,,,100.0,bl,N
Ne,3,2645.65,0.1,D,,200.0,bl,N
Ne,1,2645.7,0.02,,,300.0,,Y
Ne,2,2646.178,0.01,,,80.0,,N
Ne,1,2647.42,0.02,,,2000.0,,Y
Ne,1,2647.76,0.02,,,80.0,,Y
Ne,1,2648.21,0.02,,,150.0,,Y
Ne,1,2648.56,0.02,,,250.0,,Y
Ne,3,2650.155,0.01,,,140.0,,N
Ne,1,2651.01,0.02,,,500.0,,Y
Ne,2,2651.25,0.012,,,140.0,w,N
Ne,2,2652.593,0.01,,,100.0,,N
Ne,2,2654.301,0.01,,,22.0,,N
Ne,3,2656.96,0.1,D,,700.0,l*,N
Ne,3,2656.96,0.1,D,,700.0,l*,N
Ne,3,2656.96,0.1,D,,700.0,l*,N
Ne,1,2657.52,0.02,,,150.0,*,Y
Ne,1,2657.52,0.02,,,150.0,*,Y
Ne,2,2666.917,0.01,,,22.0,,N
Ne,1,2667.84,0.02,,,20.0,,Y
Ne,2,2667.881,0.01,,,120.0,,N
Ne,8,2668.2,1.5,,,20.0,,N
Ne,2,2668.71,0.01,,,80.0,,N
