element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Xe,4,2242.15,0.01,,,8.0,,N
Xe,3,2243.97,0.05,,,11.0,,N
Xe,4,2244.5,0.01,,,10.0,*,N
Xe,4,2244.5,0.01,,,10.0,*,N
Xe,3,2245.28,0.05,,,8.0,,N
Xe,2,2245.61,0.1,,,1.0,,N
Xe,4,2246.64,0.01,,,1.0,,N
Xe,2,2247.17,0.1,,,1.0,,N
Xe,3,2247.335,0.05,,,5.0,,N
Xe,3,2247.556,0.05,,,6.0,,N
Xe,2,2248.22,0.1,,,1.0,,N
Xe,3,2249.63,0.05,,,0.0,,N
Xe,2,2249.86,0.1,,,4.0,,N
Xe,2,2254.74,0.1,,,1.0,,N
Xe,2,2256.56,0.1,,,1.0,h,N
Xe,2,2256.82,0.1,,,2.0,*,N
Xe,2,2256.82,0.1,,,2.0,*,N
Xe,3,2258.847,0.05,,,5.0,,N
Xe,2,2259.22,0.1,,,1.0,h,N
Xe,2,2261.33,0.1,,,0.0,,N
Xe,2,2262.95,0.1,,,2.0,,N
Xe,2,2264.2,0.1,,,2.0,,N
Xe,2,2264.99,0.1,,,3.0,,N
Xe,2,2265.62,0.1,,,3.0,h,N
Xe,2,2265.94,0.1,,,2.0,h,N
Xe,2,2266.8,0.1,,,3.0,h,N
Xe,2,2268.72,0.1,,,1.0,h,N
Xe,3,2268.923,0.05,,,4.0,,N
Xe,3,2271.055,0.05,,,8.0,,N
Xe,3,2271.382,0.05,,,11.0,w,N
Xe,3,2272.609,0.05,,,2.0,,N
Xe,2,2273.18,0.1,,,1.0,,N
Xe,2,2273.37,0.1,,,3.0,,N
Xe,3,2273.488,0.05,,,3.0,,N
Xe,3,2273.709,0.05,,,1.0,,N
Xe,4,2274.13,0.01,,,5.0,,N
Xe,3,2274.96,0.01,,,3.0,u,N
Xe,4,2279.76,0.01,,,1.0,,N
Xe,3,2281.13,0.01,,,2.0,,N
Xe,4,2281.22,0.01,,,7.0,,N
Xe,2,2282.6,0.1,,,0.0,bl,N
Xe,2,2283.14,0.1,,,5.0,,N
Xe,3,2283.828,0.05,,,5.0,,N
Xe,4,2283.96,0.01,,,9.0,,N
Xe,2,2285.24,0.1,,,2.0,h,N
Xe,2,2285.94,0.1,,,8.0,,N
Xe,3,2286.634,0.05,,,7.0,,N
Xe,4,2287.13,0.01,,,5.0,,N
Xe,4,2287.91,0.01,,,9.0,,N
Xe,2,2287.92,0.1,,,2.0,,N
Xe,3,2288.009,0.05,,,2.0,,N
Xe,4,2288.9,0.01,,,12.0,,N
Xe,4,2289.96,0.01,,,9.0,,N
Xe,3,2290.834,0.05,,,12.0,bl,N
Xe,2,2290.84,0.1,,,2.0,h,N
Xe,2,2292.01,0.1,,,2.0,bl,N
Xe,2,2292.4,0.1,,,20.0,,N
Xe,2,2294.57,0.1,,,15.0,,N
Xe,2,2296.52,0.1,,,30.0,,N
Xe,3,2298.54,0.05,,,1.0,,N
Xe,2,2299.36,0.1,,,2.0,h,N
Xe,2,2299.98,0.1,,,6.0,,N
Xe,3,2300.353,0.05,,,9.0,,N
Xe,3,2300.716,0.05,,,9.0,,N
Xe,3,2300.876,0.05,,,9.0,,N
Xe,3,2303.735,0.05,,,9.0,*,N
Xe,3,2303.735,0.05,,,9.0,*,N
Xe,2,2304.6,0.1,,,1.0,h,N
Xe,3,2305.502,0.05,,,5.0,*,N
Xe,3,2305.502,0.05,,,5.0,*,N
Xe,4,2306.19,0.01,,,1.0,,N
Xe,4,2306.58,0.01,,,10.0,,N
Xe,2,2307.28,0.1,,,3.0,,N
Xe,2,2308.15,0.1,,,3.0,,N
Xe,4,2308.31,0.01,,,7.0,,N
Xe,3,2309.922,0.05,,,7.0,,N
Xe,5,2311.04,0.01,,,4.0,,N
Xe,4,2311.42,0.01,,,3.0,,N
Xe,4,2311.48,0.01,,,13.0,,N
Xe,3,2312.276,0.05,,,11.0,,N
Xe,3,2313.392,0.05,,,12.0,,N
Xe,2,2313.7,0.1,,,5.0,,N
Xe,2,2314.21,0.1,,,1.0,bl*,N
Xe,2,2314.21,0.1,,,1.0,bl*,N
Xe,4,2314.4,0.01,,,2.0,,N
Xe,7,2314.9,0.5,,,-99.0,--,N
Xe,4,2315.56,0.01,,,1.0,,N
Xe,2,2316.27,0.1,,,2.0,,N
Xe,3,2316.583,0.05,,,10.0,,N
Xe,2,2316.8,0.1,,,10.0,,N
Xe,4,2318.22,0.01,,,1.0,,N
Xe,2,2319.7,0.1,,,7.0,,N
Xe,4,2320.6,0.01,,,1.0,,N
Xe,3,2320.992,0.05,,,5.0,,N
Xe,2,2321.54,0.1,,,0.0,,N
Xe,3,2323.455,0.05,,,3.0,,N
Xe,3,2326.369,0.05,,,0.0,,N
Xe,4,2327.05,0.01,,,5.0,,N
Xe,4,2331.4,0.01,,,0.0,,N
Xe,3,2333.555,0.05,,,7.0,,N
Xe,2,2335.42,0.1,,,2.0,h,N
Xe,4,2338.29,0.01,,,6.0,,N
Xe,3,2338.884,0.05,,,9.0,,N
Xe,3,2339.398,0.05,,,1.0,,N
Xe,4,2340.92,0.01,,,11.0,,N
Xe,2,2342.18,0.1,,,3.0,h,N
Xe,2,2344.47,0.1,,,12.0,,N
Xe,4,2345.28,0.01,,,6.0,,N
Xe,2,2350.1,0.1,,,0.0,a,N
Xe,3,2350.563,0.05,,,8.0,,N
Xe,2,2350.7,0.1,,,0.0,,N
Xe,2,2351.18,0.1,,,4.0,h,N
Xe,4,2351.44,0.01,,,6.0,,N
Xe,2,2351.56,0.1,,,4.0,h,N
Xe,2,2352.06,0.1,,,1.0,,N
Xe,2,2353.52,0.1,,,1.0,h,N
Xe,2,2353.89,0.1,,,1.0,h,N
Xe,3,2353.95,0.01,,,0.0,*,N
Xe,3,2353.95,0.01,,,0.0,*,N
Xe,3,2354.456,0.05,,,11.0,,N
Xe,4,2355.44,0.01,,,7.0,,N
Xe,2,2356.25,0.1,,,1.0,h,N
