obs_wl_air(A),unc_obs_wl,intensity,Use
8046.16428,0.001,288.0819059,Y
8053.77222,0.001,345.0232681,Y
8057.97409,0.001,427.763964,Y
8062.63883,0.001,1476.395444,Y
8066.76871,0.001,841.0396319,Y
8075.66431,0.001,1224.608623,Y
8085.23872,0.001,1738.92385,Y
8093.56747,0.001,4576.729049,Y
8103.73673,0.001,28953.04337,Y
8115.3036,0.001,16550.72984,Y
8122.65761,0.001,1501.156725,Y
8129.45478,0.001,2078.46524,Y
8138.49633,0.001,4152.048937,Y
8143.12908,0.001,12018.02049,Y
8150.97996,0.001,347.2266533,Y
8159.7026,0.001,6941.816864,Y
8169.84386,0.001,3117.827904,Y
8186.91025,0.001,11834.06843,Y
8194.38423,0.001,559.5520394,Y
8202.89693,0.001,1058.503573,Y
8207.62166,0.001,751.8078803,Y
8214.09991,0.001,786.8252524,Y
8227.56027,0.001,597.0142464,Y
8231.4952,0.001,932.5442374,Y
8241.37254,0.001,87.33431609,Y
8245.83833,0.001,85.31064294,Y
8252.74046,0.001,4940.468298,Y
8264.47329,0.001,15187.63467,Y
8275.61928,0.001,5949.482681,Y
8282.15851,0.001,126.6735086,Y
8287.88796,0.001,564.4257774,Y
8296.36867,0.001,1208.461487,Y
8304.26754,0.001,305.1825959,Y
8311.57456,0.001,756.8268864,Y
8320.85805,0.001,9462.998048,Y
8330.44346,0.001,25709.83979,Y
8341.82638,0.001,381.1814382,Y
8346.04025,0.001,353.6492856,Y
8351.22784,0.001,215.3041286,Y
8358.64284,0.001,1964.281898,Y
8367.92133,0.001,2308.38659,Y
8374.57853,0.001,185.0030235,Y
8379.36124,0.001,580.8726399,Y
8387.77396,0.001,1214.392035,Y
8408.18145,0.001,17947.23847,Y
8416.89409,0.001,23998.438,Y
8424.52003,0.001,19665.9247,Y
8435.40809,0.001,161.7776714,Y
8446.23516,0.001,21053.70354,Y
8464.44424,0.001,2717.855015,Y
8471.85523,0.001,1263.382178,Y
8478.38247,0.001,17374.67807,Y
8486.88717,0.001,287.5566287,Y
8496.46258,0.001,1543.540792,Y
8500.89638,0.001,706.2325658,Y
8510.77571,0.001,1783.953077,Y
8521.42183,0.001,19172.75669,Y
8531.80002,0.001,504.4780725,Y
8539.87884,0.001,1555.444503,Y
8543.95973,0.001,1780.606003,Y
8555.40064,0.001,3822.901783,Y
8564.23925,0.001,454.7295137,Y
8573.16184,0.001,7599.927057,Y
8592.50561,0.001,982.0595135,Y
8600.37748,0.001,245.2096527,Y
8605.79601,0.001,435.3664016,Y
8616.27018,0.001,771.8366173,Y
8620.94991,0.001,580.753095,Y
8630.73627,0.001,360.7213827,Y
8639.135,0.001,2145.215537,Y
8645.4053,0.001,925.5383542,Y
8655.87847,0.001,738.9528989,Y
8667.67228,0.001,17419.14762,Y
8679.54607,0.001,688.0772878,Y
8687.5589,0.001,865.806497,Y
8709.20304,0.001,3201.666722,Y
8722.86435,0.001,644.9065893,Y
8732.79966,0.001,1380.213203,Y
8739.75678,0.001,394.2276847,Y
8748.11252,0.001,10778.86844,Y
8758.35875,0.001,7663.489017,Y
8766.79746,0.001,1631.499906,Y
8775.25717,0.001,3626.065752,Y
8784.07679,0.001,687.2313926,Y
8791.92367,0.001,1277.213142,Y
8798.40691,0.001,448.8696458,Y
8804.82118,0.001,950.7274004,Y
8810.86254,0.001,308.3121918,Y
8820.31598,0.001,1957.687852,Y
8829.66645,0.001,275.3717242,Y
8841.35029,0.001,2882.767821,Y
8849.17218,0.001,742.7759307,Y
8854.10784,0.001,532.7808388,Y
8858.97552,0.001,607.78444,Y
8868.78787,0.001,4940.657529,Y
8875.16114,0.001,669.8985774,Y
8881.88233,0.001,238.6385296,Y
8893.02431,0.001,1875.868143,Y
8906.84857,0.001,393.0714622,Y
8911.24238,0.001,505.4561027,Y
8917.91158,0.001,321.4859878,Y
8928.21279,0.001,807.8609256,Y
8934.97896,0.001,97.65684775,Y
8941.88209,0.001,290.5025757,Y
8949.05515,0.001,1239.937881,Y
8956.10624,0.001,1407.75544,Y
8967.66111,0.001,19253.31128,Y
8980.49864,0.001,527.6029376,Y
8987.10685,0.001,672.781952,Y
8995.25564,0.001,573.418453,Y
