element,sp_num,obs_wl_air(A),unc_obs_wl,intens,Aki(s^-1),Acc,Type,blank
Xe,3,2419.740,0.050,7,,,,
Xe,2,2420.87,0.10,2bl,,,,
Xe,2,2421.27,0.10,20h,,,,
Xe,2,2422.12,0.10,2,,,,
Xe,4,2422.120,0.010,9,,,,
Xe,3,2422.139,0.050,14bl,,,,
Xe,3,2422.767,0.050,9,,,,
Xe,2,2422.94,0.10,10,,,,
Xe,3,2423.918,0.050,3,,,,
Xe,2,2425.05,0.10,40h,,,,
Xe,4,2428.970,0.010,10,,,,
Xe,4,2431.070,0.010,6,,,,
Xe,2,2432.72,0.10,12,,,,
Xe,4,2433.590,0.010,9,,,,
Xe,2,2435.47,0.10,6,,,,
Xe,5,2435.820,0.010,2,,,,
Xe,3,2436.491,0.050,12,,,,
Xe,4,2438.080,0.010,2,,,,
Xe,2,2438.76,0.10,1-,,,,
Xe,3,2439.516,0.050,6w,,,,
Xe,5,2441.490,0.010,14bl,,,,
Xe,3,2441.523,0.050,11,,,,
Xe,2,2441.60,0.10,2h,,,,
Xe,5,2441.860,0.010,15,,,,
Xe,2,2442.54,0.10,1,,,,
Xe,2,2442.78,0.10,1H,,,,
Xe,5,2443.370,0.010,10,,,,
Xe,4,2446.080,0.010,8,,,,
Xe,3,2446.503,0.050,8,,,,
Xe,2,2446.79,0.10,0,,,,
Xe,3,2447.083,0.050,10,,,,
Xe,4,2447.640,0.010,9*,,,,
Xe,4,2447.640,0.010,9*,,,,
Xe,8,2448.9,0.6,,,,,
Xe,4,2450.900,0.010,8,,,,
Xe,4,2451.370,0.010,9,,,,
Xe,3,2452.644,0.050,11,,,,
Xe,4,2459.750,0.010,3,,,,
Xe,4,2462.660,0.010,5,,,,
Xe,3,2463.061,0.050,10,,,,
Xe,3,2463.557,0.050,10,,,,
Xe,3,2464.555,0.050,2,,,,
Xe,4,2465.750,0.010,5,,,,
Xe,2,2466.60,0.10,2h,,,,
Xe,8,2467.6,0.5,,,,,
Xe,3,2468.393,0.050,7bl,,,,
Xe,2,2468.43,0.10,5,,,,
Xe,2,2470.18,0.10,5,,,,
Xe,4,2470.740,0.010,3,,,,
Xe,3,2471.319,0.050,10,,,,
Xe,3,2472.377,0.050,7,,,,
Xe,5,2473.110,0.010,12,,,,
Xe,4,2474.820,0.010,9,,,,
Xe,2,2475.89,0.10,100,,,,
Xe,3,2477.062,0.050,0,,,,
Xe,2,2478.82,0.10,4,,,,
Xe,3,2479.130,0.050,7,,,,
Xe,2,2479.40,0.10,1,,,,
Xe,3,2479.876,0.050,8,,,,
Xe,3,2483.464,0.050,6,,,,
Xe,3,2485.006,0.050,7,,,,
Xe,5,2485.410,0.010,9,,,,
Xe,3,2486.727,0.050,9,,,,
Xe,8,2487.8,0.6,,,,,
Xe,2,2489.11,0.10,50,,,,
Xe,2,2490.76,0.10,20,,,,
Xe,2,2491.78,0.10,5,,,,
Xe,4,2493.050,0.010,9,,,,
Xe,4,2495.100,0.010,11,,,,
Xe,4,2497.020,0.010,6,,,,
Xe,4,2498.060,0.010,2,,,,
Xe,3,2501.037,0.050,12,,,,
Xe,4,2503.930,0.010,6,,,,
Xe,3,2504.907,0.050,11,,,,
Xe,4,2505.330,0.010,3,,,,
Xe,3,2509.74,0.05,4,,,,
Xe,2,2509.98,0.10,0,,,,
Xe,3,2510.52,0.05,3,,,,
Xe,3,2511.288,0.050,1,,,,
Xe,3,2513.337,0.050,1,,,,
Xe,5,2513.880,0.010,5,,,,
Xe,3,2514.09,0.05,0h,,,,
Xe,4,2514.690,0.010,6,,,,
Xe,3,2515.117,0.050,6,,,,
Xe,8,2516.8,0.8,*,,,,
Xe,8,2516.8,0.8,*,,,,
Xe,2,2517.06,0.10,1,,,,
Xe,3,2521.428,0.050,5,,,,
Xe,5,2522.040,0.010,1,,,,
Xe,2,2523.67,0.10,0,,,,
Xe,3,2523.967,0.050,7,,,,
Xe,2,2523.97,0.10,1,,,,
Xe,2,2524.46,0.10,3,,,,
Xe,4,2524.920,0.010,1,,,,
Xe,4,2525.510,0.010,3,,,,
Xe,8,2526.4,0.8,*,,,,
Xe,8,2526.4,0.8,*,,,,
Xe,2,2526.79,0.10,12,,,,
Xe,2,2526.98,0.10,12,,,,
Xe,4,2529.580,0.010,3,,,,
Xe,2,2530.18,0.10,2,,,,
Xe,6,2530.6,0.8,*,,,,
Xe,6,2530.6,0.8,*,,,,
Xe,3,2533.318,0.050,7,,,,
Xe,4,2534.180,0.010,1,,,,
Xe,3,2536.868,0.050,7,,,,
Xe,2,2538.02,0.10,3h,,,,
Xe,5,2538.600,0.010,11,,,,
Xe,3,2538.918,0.050,1,,,,
Xe,3,2541.028,0.050,1,,,,
Xe,3,2541.88,0.05,3,,,,
Xe,3,2544.10,0.05,2,,,,
Xe,3,2550.55,0.05,3*,,,,
Xe,3,2550.55,0.05,3*,,,,
Xe,2,2551.70,0.10,3,,,,
Xe,2,2553.79,0.10,0,,,,
Xe,2,2554.20,0.10,1-,,,,
Xe,4,2559.940,0.010,10,,,,
Xe,2,2561.48,0.10,2,,,,
Xe,4,2564.130,0.010,12,,,,
Xe,3,2568.81,0.05,9*,,,,
Xe,3,2568.81,0.05,9*,,,,
Xe,3,2570.26,0.05,5,,,,
Xe,3,2572.33,0.05,7*,,,,
Xe,3,2572.33,0.05,7*,,,,
Xe,2,2572.93,0.10,0*,,,,
Xe,2,2572.93,0.10,0*,,,,
Xe,4,2572.930,0.010,10,,,,
Xe,4,2573.360,0.010,2,,,,
Xe,3,2574.61,0.05,2,,,,
Xe,2,2576.97,0.10,15,,,,
Xe,3,2578.37,0.05,13,,,,
Xe,3,2578.62,0.05,9,,,,
Xe,2,2584.88,0.10,1,,,,
Xe,4,2589.030,0.010,1,,,,
Xe,3,2590.42,0.05,12,,,,
Xe,3,2591.24,0.05,8,,,,
Xe,4,2591.240,0.010,6,,,,
Xe,3,2591.69,0.05,10,,,,
Xe,3,2594.53,0.05,7,,,,
Xe,4,2594.830,0.010,1,,,,
Xe,3,2595.03,0.05,7a,,,,
Xe,2,2597.01,0.10,4,,,,
Xe,2,2598.42,0.10,2,,,,
Xe,3,2600.12,0.05,15a,,,,
Xe,2,2605.54,0.10,50,,,,
Xe,2,2606.93,0.10,5,,,,
Xe,3,2607.50,0.05,7bl,,,,
Xe,2,2607.52,0.10,1,,,,
Xe,3,2608.330,0.010,0,,,,
Xe,4,2608.330,0.010,2,,,,
Xe,3,2608.90,0.05,6,,,,
Xe,3,2610.57,0.05,5,,,,
Xe,3,2611.03,0.05,1,,,,
Xe,3,2613.99,0.05,1,,,,
Xe,3,2615.400,0.010,1,,,,
Xe,6,2616.2,0.8,,,,,
Xe,3,2616.63,0.05,1,,,,
Xe,3,2616.90,0.05,0,,,,
Xe,2,2617.14,0.10,0,,,,
Xe,4,2619.700,0.010,11,,,,
Xe,3,2619.85,0.05,8w,,,,
Xe,2,2621.39,0.10,2h,,,,
Xe,4,2621.780,0.010,11,,,,
Xe,2,2623.17,0.10,2,,,,
Xe,3,2624.52,0.05,4,,,,
Xe,4,2626.980,0.010,9,,,,
Xe,3,2626.98,0.05,7,,,,
Xe,2,2629.54,0.10,5h,,,,
Xe,2,2630.40,0.10,6h,,,,
Xe,4,2633.390,0.010,5,,,,
Xe,2,2633.88,0.10,2,,,,
Xe,3,2634.21,0.05,13,,,,
Xe,3,2637.54,0.05,3,,,,
Xe,3,2639.15,0.05,9,,,,
Xe,2,2640.54,0.10,1,,,,
Xe,3,2641.13,0.05,2,,,,
Xe,2,2648.83,0.10,1,,,,
Xe,4,2650.910,0.010,3,,,,
Xe,4,2651.580,0.010,13,,,,
Xe,4,2652.170,0.010,10,,,,
Xe,2,2655.39,0.10,2h,,,,
Xe,2,2657.00,0.10,5h,,,,
Xe,3,2658.27,0.05,9,,,,
Xe,2,2659.28,0.10,1h,,,,
Xe,3,2659.36,0.05,5,,,,
Xe,3,2661.00,0.05,7,,,,
Xe,2,2663.29,0.10,3,,,,
Xe,5,2664.680,0.010,6,,,,
Xe,4,2665.130,0.010,10,,,,
Xe,3,2667.94,0.05,10a,,,,
Xe,2,2668.02,0.10,5,,,,
Xe,3,2669.01,0.05,20*,,,,
Xe,3,2669.01,0.05,20*,,,,
Xe,3,2670.25,0.05,6,,,,
Xe,2,2670.68,0.10,1,,,,
Xe,4,2670.790,0.010,5,,,,
Xe,2,2672.22,0.10,4,,,,
Xe,3,2678.55,0.05,6*,,,,
Xe,3,2678.55,0.05,6*,,,,
Xe,4,2679.990,0.010,11,,,,
Xe,2,2683.72,0.10,0,,,,
Xe,3,2685.51,0.05,5,,,,
Xe,2,2686.14,0.10,3h,,,,
Xe,3,2687.03,0.05,5,,,,
Xe,3,2691.22,0.05,4,,,,
Xe,3,2691.44,0.05,12a,,,,
Xe,2,2691.53,0.10,1,,,,
Xe,4,2691.740,0.010,4,,,,
Xe,5,2691.740,0.010,15w,,,,
Xe,3,2694.12,0.05,5,,,,
Xe,3,2695.65,0.05,3*,,,,
Xe,3,2695.65,0.05,3*,,,,
Xe,4,2695.870,0.010,9,,,,
Xe,3,2696.51,0.05,15bl*,,,,
Xe,3,2696.51,0.05,15bl*,,,,
Xe,4,2697.510,0.010,13,,,,
Xe,2,2698.39,0.10,0,,,,
Xe,3,2701.50,0.05,5,,,,
Xe,3,2701.71,0.05,0,,,,
Xe,2,2702.22,0.10,2,,,,
Xe,3,2702.31,0.05,2,,,,
Xe,2,2703.44,0.10,10,,,,
Xe,3,2704.41,0.05,3,,,,
Xe,2,2705.38,0.10,0,,,,
Xe,4,2706.730,0.010,10,,,,
Xe,3,2708.45,0.05,12,,,,
Xe,4,2709.970,0.010,1,,,,
Xe,8,2710.6,0.8,,,,,
Xe,3,2710.94,0.05,6,,,,
Xe,2,2711.02,0.10,1h,,,,
Xe,3,2711.34,0.05,0,,,,
Xe,4,2711.900,0.010,1,,,,
Xe,2,2712.17,0.10,1,,,,
Xe,3,2713.39,0.05,10a,,,,
Xe,3,2714.05,0.05,2,,,,
Xe,2,2715.76,0.10,3,,,,
Xe,3,2717.350,0.010,30,,,,
Xe,3,2718.10,0.05,2,,,,
Xe,2,2718.79,0.10,1-,,,,
Xe,2,2721.28,0.10,1-^,,,,
Xe,2,2723.40,0.10,1^,,,,
Xe,4,2725.270,0.010,13,,,,
Xe,2,2725.66,0.10,1-,,,,
Xe,3,2725.69,0.05,1wbl,,,,
Xe,3,2727.20,0.05,11a,,,,
Xe,3,2728.20,0.05,9,,,,
Xe,2,2731.46,0.10,1-,,,,
Xe,2,2733.15,0.10,25hs,,,,
Xe,4,2733.920,0.010,2,,,,
Xe,2,2734.14,0.10,50,,,,
Xe,3,2736.99,0.05,14,,,,
Xe,8,2737.9,0.8,,,,,
Xe,3,2739.19,0.05,4,,,,
Xe,2,2739.77,0.10,1-,,,,
Xe,3,2740.78,0.05,16,,,,
Xe,4,2744.080,0.010,10,,,,
Xe,2,2746.77,0.10,1-,,,,
Xe,2,2747.68,0.10,1^,,,,
Xe,3,2747.86,0.05,14,,,,
Xe,2,2748.79,0.10,1h,,,,
Xe,2,2751.76,0.10,0,,,,
Xe,3,2754.88,0.05,13,,,,
Xe,2,2756.48,0.10,1-,,,,
Xe,3,2757.56,0.05,3,,,,
